"diputado_id","diputado_apellido","diputado_nombre","diputado_genero","diputado_distrito","mandato_inicio","mandato_fin","diputado_juramento","diputado_cese","diputado_bloque","bloque_inicio","bloque_fin"
"HCDN0693","ALVAREZ","JUAN JOSE","M","BUENOS AIRES",2007-12-10,2011-12-09,2007-12-19,2011-12-09,"UNION CELESTE Y BLANCO",2007-12-10,2009-12-09
"HCDN0693","ALVAREZ","JUAN JOSE","M","BUENOS AIRES",2007-12-10,2011-12-09,2007-12-19,2011-12-09,"PERONISTA",2009-12-10,2011-02-28
"HCDN0693","ALVAREZ","JUAN JOSE","M","BUENOS AIRES",2007-12-10,2011-12-09,2007-12-19,2011-12-09,"NUCLEO UNIDAD PERONISTA",2011-03-01,2011-12-09
"HCDN0846","ALVAREZ RODRIGUEZ","MARIA CRISTINA","F","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"FRENTE PARA LA VICTORIA - PJ",2015-12-10,2019-12-09
"HCDN0974","ALVARO","HECTOR JORGE","M","MENDOZA",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"DE LA CONCERTACION",2007-12-10,2011-12-09
"HCDN1142","AMADEO","EDUARDO PABLO","M","BUENOS AIRES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"PERONISMO FEDERAL",2009-12-10,2011-12-06
"HCDN1142","AMADEO","EDUARDO PABLO","M","BUENOS AIRES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE PERONISTA",2011-12-07,2013-09-10
"HCDN1142","AMADEO","EDUARDO PABLO","M","BUENOS AIRES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE RENOVADOR",2013-09-11,2013-12-09
"HCDN1142","AMADEO","EDUARDO PABLO","M","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"UNION PRO",2015-12-10,2017-12-09
"HCDN1142","AMADEO","EDUARDO PABLO","M","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"PRO",2017-12-10,2019-12-09
"HCDN2354","ANSALONI","PABLO MIGUEL","M","BUENOS AIRES",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"PRO",2017-12-10,2021-12-09
"HCDN1234","ARAGON","SANTIAGO DIEGO","M","BUENOS AIRES",2011-12-10,2015-12-09,2011-12-06,2012-03-02,"FRENTE PARA LA VICTORIA - PJ",2011-12-10,2012-03-02
"HCDN0975","ARBO","JOSE AMEGHINO","M","CORRIENTES",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"PARTIDO LIBERAL DE CORRIENTES",2007-12-10,2011-12-09
"HCDN2355","ARCE","MARIO HORACIO","M","FORMOSA",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"UCR",2017-12-10,2021-12-09
"HCDN1143","ARENA","CELIA ISABEL","F","SANTA FE",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"PERONISMO FEDERAL",2009-12-10,2011-12-09
"HCDN1143","ARENA","CELIA ISABEL","F","SANTA FE",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE PARA LA VICTORIA - PJ",2011-12-10,2013-12-09
"HCDN1396","ARENAS","BERTA HORTENSIA","F","SAN LUIS",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"COMPROMISO FEDERAL",2013-12-10,2017-12-09
"HCDN0976","ARETA","MARIA JOSEFA","F","CORRIENTES",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"FRENTE DE TODOS",2007-12-10,2011-12-09
"HCDN1069","ARGÜELLO","OCTAVIO","M","BUENOS AIRES",2007-12-10,2011-12-09,2007-12-19,2011-12-09,"FRENTE PARA LA VICTORIA - PJ",2007-12-10,2011-12-09
"HCDN1144","ARGUMEDO","ALCIRA SUSANA","F","CIUDAD DE BUENOS AIRES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"MOVIMIENTO PROYECTO SUR",2009-12-10,2013-12-09
"HCDN1144","ARGUMEDO","ALCIRA SUSANA","F","CIUDAD DE BUENOS AIRES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"PROYECTO SUR - UNEN",2013-12-10,2017-12-09
"HCDN1235","ARREGUI","ANDRES ROBERTO","M","BUENOS AIRES",2011-12-10,2015-12-09,2011-12-06,2015-12-09,"FRENTE PARA LA VICTORIA - PJ",2011-12-10,2015-12-09
"HCDN1581","ARRIETA","GUSTAVO HECTOR","M","BUENOS AIRES",2013-12-10,2017-12-09,2016-03-15,2017-12-09,"FRENTE PARA LA VICTORIA - PJ",2016-03-15,2017-12-09
"HCDN2356","ARROYO","DANIEL FERNANDO","M","BUENOS AIRES",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"FEDERAL UNIDOS POR UNA NUEVA ARGENTINA",2017-12-10,2018-10-21
"HCDN2356","ARROYO","DANIEL FERNANDO","M","BUENOS AIRES",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"RED POR ARGENTINA",2018-10-22,2021-12-09
"HCDN1224","ASEF","DANIEL EDGARDO","M","CORDOBA",2007-12-10,2011-12-09,2010-04-21,2011-12-09,"PERONISMO CORDOBES",2010-04-21,2010-04-22
"HCDN1224","ASEF","DANIEL EDGARDO","M","CORDOBA",2007-12-10,2011-12-09,2010-04-21,2011-12-09,"PERONISTA CORDOBA CIUDADANA",2010-04-23,2011-02-28
"HCDN1224","ASEF","DANIEL EDGARDO","M","CORDOBA",2007-12-10,2011-12-09,2010-04-21,2011-12-09,"NUCLEO UNIDAD PERONISTA",2011-03-01,2011-12-09
"HCDN2441","ASENCIO","FERNANDO","M","BUENOS AIRES",2015-12-10,2019-12-09,2018-05-23,2019-12-09,"FEDERAL UNIDOS POR UNA NUEVA ARGENTINA",2018-05-23,2018-10-21
"HCDN2441","ASENCIO","FERNANDO","M","BUENOS AIRES",2015-12-10,2019-12-09,2018-05-23,2019-12-09,"RED POR ARGENTINA",2018-10-22,2019-12-09
"HCDN1145","ASPIAZU","LUCIO BERNARDO","M","CORRIENTES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"UCR",2009-12-10,2013-12-09
