"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"GALINDEZ,  FRANCISCO R.",3183,"1932-01-20","1941-01-19","1932-01-20","1941-01-19","CATAMARCA","DEMOCRATA NACIONAL","ACUÑA,  AURELIO SIMON",NA
"ACUÑA,  AURELIO SIMON",3184,"1941-09-19","1950-01-19","1942-04-25","1943-06-05","CATAMARCA","DEMOCRATA NACIONAL","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A FRANCISCO GALINDEZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"SANCHEZ RECALDE,  LUIS NICOLAS AUGUSTO",3186,"1949-09-28","1952-04-30","1949-09-28","1950-06-02","CATAMARCA","SIN ESPECIFICAR","VACANTE HASTA FIN DEL PERIODO,","SUSPENDIDO EL 2 DE JUNIO DE 1950. NO SE OCUPA LA BANCA HASTA 1952."
"NAVARRO,  RAMON MARDONIO",3187,"1952-04-25","1958-04-30","1952-04-25","1955-09-21","CATAMARCA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"BAZAN,  EDUARDO",3188,"1958-03-31","1964-04-30","1958-03-31","1962-09-06","CATAMARCA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"SAADI, RAMÓN EDUARDO",67,"1986-11-28","1995-12-09","1987-12-16","1988-11-17","CATAMARCA","JUSTICIALISTA","SAADI de DENTONE, ALICIA","COMPLETA EL PERIODO DE VICENTE LEONIDAS SAADI. RENUNCIO EN 1988. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE CATAMARCA. LO REEMPLAZA ALICIA SAADI."
"SAADI de DENTONE, ALICIA",38,"1986-11-23","1995-12-09","1988-11-23","1993-04-19","CATAMARCA","JUSTICIALISTA","FADEL, MARIO NALLIB","RENUNCIA EN 1993. LA REEMPLAZA MARIO FADEL."
"FADEL, MARIO NALLIB",104,"1986-11-23","1995-12-09","1993-05-19","1995-12-09","CATAMARCA","JUSTICIALISTA","VACANTE HASTA FIN DEL PERIODO,","COMPLETA EL PERIODO DE ALICIA SAADI DE DENTONE."
"MORENO,  GREGORIO",3190,"1862-05-24","1865-04-30","1862-05-24","1865-04-30","CATAMARCA","SIN ESPECIFICAR","LOBO,  JOSE LUIS",NA
"LOBO,  JOSE LUIS",3191,"1865-04-30","1874-04-30","1866-07-03","1874-04-30","CATAMARCA","SIN ESPECIFICAR","MOLINA,  SAMUEL","REEMPLAZA A GREGORIO MORENO POR EXPIRACION DE MANDATO."
"MOLINA,  SAMUEL",3192,"1874-06-11","1883-04-30","1874-06-11","1880-06-18","CATAMARCA","SIN ESPECIFICAR","FIGUEROA,  MARCOS A.","REEMPLAZA A JOSE LUIS LOBO POR EXPIRACION DE MANDATO. FALLECE EN 1880. LO REEMPLAZA MARCOS FIGUEROA ( 1880-1883 )."
