"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"FIGUEROA,  MARCOS A.",3193,"1874-06-11","1883-04-30","1880-07-13","1883-04-30","CATAMARCA","SIN ESPECIFICAR","RODRIGUEZ,  MANUEL F.","COMPLETA EL PERIODO DE SAMUEL MOLINA."
"FIGUEROA,  FRANCISCO C.",3195,"1901-05-01","1910-04-30","1901-05-01","1910-04-30","CATAMARCA","SIN ESPECIFICAR","MALBRAN,  CARLOS G.","REELECTO."
"MALBRAN,  CARLOS G.",3196,"1910-10-29","1919-04-30","1910-10-29","1919-04-30","CATAMARCA","SIN ESPECIFICAR","GALLO,  SEGUNDO B.","REEMPLAZA A FRANCISCO FIGUEROA POR EXPIRACION DE MANDATO."
"ALVAREZ,  FRANCISCO M.",3255,"1935-05-02","1944-04-30","1940-10-31","1943-06-05","CORRIENTES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","COMPLETA EL PERIODO DE JUAN RAMON VIDAL. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"MADARIAGA,  EDUARDO",3256,"1949-04-26","1952-04-30","1949-04-26","1952-04-30","CORRIENTES","SIN ESPECIFICAR","VELAZCO,  JUAN FILOMENO",NA
"VELAZCO,  JUAN FILOMENO",3257,"1952-06-11","1958-04-30","1952-06-11","1954-12-29","CORRIENTES","SIN ESPECIFICAR","VACANTE HASTA DISOLUC.P.L.,","FALLECE EL 29 DE DICIEMBRE DE 1954. QUEDA VACANTE LA BANCA HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"DAVILA,  ANIBAL J.",3258,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","CORRIENTES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"AGUIRRE LANARI, JUAN RAMON",1,"1989-12-06","1998-12-09","1989-12-06","1998-12-09","CORRIENTES","LIBERAL DE CORRIENTES","PRUYAS, TOMAS RUBEN","REELECTO."
"AGUIRRE LANARI, JUAN RAMON",1,"1983-11-29","1989-12-09","1987-12-16","1989-12-09","CORRIENTES","LIBERAL DE CORRIENTES","AGUIRRE LANARI, JUAN RAMON","COMPLETA EL PERIODO DE RICARDO LECONTE."
"AGUIRRE LANARI, JUAN RAMON",1,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","CORRIENTES","LIBERAL DE CORRIENTES","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"ROMERO,  HUMBERTO ANTONIO",3259,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CORRIENTES","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"PERONI,  CARMELO",3260,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CORRIENTES","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"LECONTE, RICARDO G.",79,"1983-11-29","1989-12-09","1983-11-29","1987-12-16","CORRIENTES","LIBERAL","AGUIRRE LANARI, JUAN RAMON","RENUNCIA EN 1987. LO REEMPLAZA JUAN RAMON AGUIRRE LANARI."
"PRUYAS, TOMAS RUBEN",248,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","CORRIENTES","JUSTICIALISTA","PARDO, ÁNGEL FRANCISCO","REEMPLAZA A AGUIRRE LANARI POR EXPIRACION DE MANDATO."
"SARAVIA,  JOSE VICENTE",3261,"1854-10-17","1860-04-30","1854-10-17","1854-11-29","CORRIENTES","SIN ESPECIFICAR","PUJOL,  JUAN GREGORIO","PIDE LICENCIA PARA  SER MINISTRO DE JUSTICIA CULTO E INSTRUCCION PUBLICA. LO REEMPLAZA JUAN PUJOL."
"PUJOL,  JUAN GREGORIO",3262,"1860-05-01","1869-04-30","1861-04-03","1861-08-16","CORRIENTES","SIN ESPECIFICAR","VACANTE HASTA DISOLUC.P.L.,","FALLECE EN 1861. DISOLUCION DEL PODER LEGISLATIVO EL 12 DE DICIEMBRE DE 1861."
"FERRE,  PEDRO",3263,"1862-07-22","1871-04-30","1862-07-22","1867-01-21","CORRIENTES","SIN ESPECIFICAR","VIDAL,  JOSE RAMON","FALLECE EN 1867. LO REEMPLAZA JOSE VIDAL. (1868/1871)."
"VIDAL,  JOSE RAMON",3264,"1862-07-22","1871-04-30","1868-05-28","1871-04-30","CORRIENTES","DEMOCRATA NACIONAL","TORRENT,  JUAN E.","COMPLETA EL PERIODO DE PEDRO FERRE."
"TORRENT,  JUAN E.",3265,"1871-07-25","1880-04-30","1871-07-25","1880-04-30","CORRIENTES","SIN ESPECIFICAR","BAIBIENE,  SANTIAGO","REEMPLAZA A JOSE VIDAL POR EXPIRACION DE MANDATO."
"BAIBIENE,  SANTIAGO",3266,"1880-06-04","1889-04-30","1880-06-04","1889-04-30","CORRIENTES","SIN ESPECIFICAR","VIDAL,  JUAN RAMON","REEMPLAZA A JUAN TORRENT POR EXPIRACION DE MANDATO."
"VIRASORO,  VALENTIN",3267,"1898-05-02","1907-04-30","1898-05-02","1907-04-30","CORRIENTES","SIN ESPECIFICAR","VIRASORO,  VALENTIN","REEMPLAZA A JUAN RAMON VIDAL POR EXPIRACION DE MANDATO."
"VIRASORO,  VALENTIN",3267,"1907-06-07","1916-04-30","1907-06-07","1916-04-30","CORRIENTES","SIN ESPECIFICAR","SOTO,  PEDRO NUMA","REELECTO."
"DIAZ COLODRERO,  PEDRO",3268,"1941-01-22","1950-04-30","1941-01-22","1942-08-04","CORRIENTES","AUTONOMISTA","ABAD,  ELIAS","REEMPLAZA A JUAN J. LUBARY POR EXPIRACION DE MANDATO. FALLECE EN 1942. LO REEMPLAZA ELIAS ABAD."
"ABAD,  ELIAS",3269,"1941-01-22","1950-01-19","1942-09-15","1943-06-05","CORRIENTES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","COMPLETA EL PERIODO DE PEDRO DIAZ COLODRERO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"MENDIONDO,  FRANCISCO DANIEL",3270,"1949-04-26","1952-04-30","1949-04-26","1952-04-30","CORRIENTES","SIN ESPECIFICAR","DI GIROLAMO,  ELENA",NA
"DI GIROLAMO,  ELENA",3271,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","CORRIENTES","SIN ESPECIFICAR","DE LUCA DE SOTO,  ZELMIRA ANTONIA","REEMPLAZA A FRANCISCO MENDIONDO POR EXPIRACION DE MANDATO."
"DE LUCA DE SOTO,  ZELMIRA ANTONIA",3272,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","CORRIENTES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A ELENA DI GIROLAMO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"FLEITAS,  VICTOR HUGO",3273,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","CORRIENTES","SIN ESPECIFICAR","VACANTE HASTA DISOLUC.P.L.,","VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"MANCINI,  GALILEO",3274,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","CORRIENTES","AUTONOMISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"MANCINI,  OMAR ALCIDES",3275,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CORRIENTES","ALIANZA REPUBLICANA FEDERAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"FERIS, GABRIEL",76,"1986-12-11","1995-12-09","1986-12-11","1987-12-10","CORRIENTES","AUTONOMISTA LIBERAL-CORRIENTES","ROMERO FERIS, JOSE ANTONIO","RENUNCIA EL 10/12/1987 PARA ASUMIR COMO VICEGOBERNADOR DE CORRIENTES. LO REEMPLAZA JOSE ROMERO FERIS."
"FERIS, GABRIEL",76,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","CORRIENTES","AUTONOMISTA","FERIS, GABRIEL",NA
"ROMERO FERIS, JOSE ANTONIO",36,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","CORRIENTES","AUTONOMISTA","VIUDES, ISABEL JOSEFA","REELECTO."
"ROMERO FERIS, JOSE ANTONIO",36,"1986-12-11","1995-12-09","1987-12-09","1995-12-09","CORRIENTES","AUTONOMISTA","ROMERO FERIS, JOSE ANTONIO","COMPLETA EL PERIODO DE GABRIEL FERIS."
"PARDO, ÁNGEL FRANCISCO",222,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","CORRIENTES","JUSTICIALISTA","CHIAPPE, LÁZARO ALBERTO","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"FERRARI,  JUAN ANTONIO",3276,"1953-04-25","1955-04-30","1953-04-25","1955-04-30","LA PAMPA","SIN ESPECIFICAR","FERRARI,  JUAN ANTONIO","LA PROVINCIA DE LA PAMPA SE LLAMO EVA PERON DE 1953 A 1955. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"FERRARI,  JUAN ANTONIO",3276,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","LA PAMPA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"OPORTO,  JULIO SAMUEL",3277,"1961-07-05","1970-04-30","1961-07-05","1962-09-06","LA PAMPA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER EJECUTIVO EL 6 DE SEPTIEMBRE DE 1962."
"FERNANDEZ,  MARIANO (h)",3278,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","LA PAMPA","UNION POPULAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"GRUBISICH,  PABLO ELISEO",3279,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","LA PAMPA","AL. POP. FED.-SANTA FE","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"CONCHEZ, PEDRO A.",10,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","LA PAMPA","JUSTICIALISTA","VERNA, CARLOS ALBERTO","LO REEMPLAZA CARLOS VERNA."
"CORRECHE,  SUSANA",3280,"1953-04-25","1958-04-30","1953-04-25","1955-09-21","LA PAMPA","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","EL ARTICULO 4° (CLAUSULA 6°) DE LA RESOLUCION DE LA CONVENCION CONSTITUYENTE DE 1949, DETERMINO LA UNIFICACION DE LOS MANDATOS DE LOS LEGISLADORES, ESTOS CADUCARON EL 30/04/1952. DISOLUCION DEL PODER LEGISLATIVO  EL 21/09/1955. PCIA. EVA PERON."
"BEASCOCHEA,  RAUL ENRIQUE",3281,"1961-07-05","1964-04-30","1961-07-05","1962-09-06","LA PAMPA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO POR DECRETO DEL PODER EJECUTIVO EL 6 DE SEPTIEMBRE DE  1962."
"BAUDUCCO,  JOSE RAUL",3282,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","LA PAMPA","U.D.E.L.P.A.","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"FROIS,  DOMINGO ANDRES",3283,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","LA PAMPA","JUSTICIALISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"GARCIA,  JUSTINO",3284,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","LA PAMPA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"BERHONGARAY, ANTONIO TOMAS",50,"1995-11-29","2001-12-09","1995-11-29","1999-12-15","LA PAMPA","UNIÓN CÍVICA RADICAL","ROSTAN, NESTOR DANIEL","POR LA REFORMA CONSTITUCIONAL DE 1994 FUE ELEGIDO TERCER SENADOR."
"BERHONGARAY, ANTONIO TOMAS",50,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","LA PAMPA","UNIÓN CÍVICA RADICAL","MARÍN, RUBÉN HUGO","LO REEMPLAZA  RUBEN HUGO MARIN."
"MARTINEZ ALMUDEVAR, ENRIQUE J. M.",25,"1999-05-12","2001-12-09","1999-05-12","2001-12-09","LA PAMPA","JUSTICIALISTA","GOMEZ de BERTONE, DEOLIDE CARMEN","REELECTO."
"MARTINEZ ALMUDEVAR, ENRIQUE J. M.",25,"1989-12-06","1998-12-09","1992-04-08","1998-12-09","LA PAMPA","JUSTICIALISTA","MARTINEZ ALMUDEVAR, ENRIQUE J. M.","COMPLETA EL PERIODO DE RUBEN MARIN QUE RENUNCIO."
"MARÍN, RUBÉN HUGO",61,"1989-12-06","1998-12-09","1989-12-06","1991-12-18","LA PAMPA","JUSTICIALISTA","MARTINEZ ALMUDEVAR, ENRIQUE J. M.",NA
"DAVILA, GUILLERMO",3286,"1862-05-24","1871-04-30","1863-05-16","1871-04-30","LA RIOJA","SIN ESPECIFICAR","VALLEJO,  BENIGNO",NA
"VALLEJO,  BENIGNO",3287,"1871-07-27","1880-04-30","1871-07-27","1878-10-11","LA RIOJA","SIN ESPECIFICAR","GORDILLO,  SANTIAGO","RENUNCIA EN 1878, ES NOMBRADO JUEZ FEDERAL DE TUCUMAN. LO REEMPLAZA SANTIAGO GORDILLO."
"GORDILLO,  SANTIAGO",3288,"1871-07-27","1880-04-30","1879-05-08","1880-04-30","LA RIOJA","SIN ESPECIFICAR","DAVILA,  DOMINGO B.","COMPLETA EL PERIODO DE BENIGNO VALLEJO ( 1871/1880  ) ."
"DAVILA,  DOMINGO B.",3289,"1880-05-01","1889-04-30","1881-05-07","1889-04-30","LA RIOJA","SIN ESPECIFICAR","BUSTOS,  FRANCISCO V.","REEMPLAZA A SANTIAGO GORDILLO POR EXPIRACION DE MANDATO."
"BUSTOS,  FRANCISCO V.",3290,"1889-05-16","1898-04-30","1889-05-16","1895-03-30","LA RIOJA","SIN ESPECIFICAR","BARROS,  NICOLAS","REEMPLAZA A DOMINGO DAVILA POR EXPIRACION DE MANDATO. RENUNCIA EN 1895. LO REEMPLAZA NICOLAS BARROS (1895/1896)."
"GARCIA,  ANTONIO P.",3292,"1889-05-16","1898-04-30","1896-09-10","1898-04-30","LA RIOJA","SIN ESPECIFICAR","GARCIA,  ANTONIO P.","COMPLETA EL PERIODO DE NICOLAS BARROS ( 1895/1898 )."
"GARCIA,  ANTONIO P.",3292,"1898-05-02","1907-04-30","1898-05-02","1907-04-30","LA RIOJA","SIN ESPECIFICAR","GONZALEZ,  JOAQUIN  VICTOR","REELECTO."
"GONZALEZ,  JOAQUIN  VICTOR",3293,"1907-04-30","1916-04-30","1907-04-30","1916-04-30","LA RIOJA","SIN ESPECIFICAR","GONZALEZ,  JOAQUIN  VICTOR","REEMPLAZA A ANTONIO GARCIA POR EXPIRACION DE MANDATO."
"GONZALEZ,  JOAQUIN  VICTOR",3293,"1916-06-13","1925-04-30","1916-06-13","1923-12-21","LA RIOJA","SIN ESPECIFICAR","VACANTE HASTA FIN DEL PERIODO,","REELECTO. FALLECE EN 1923. NO SE COMPLETA EL PERIODO."
"FUENTE,  HECTOR M. DE LA",3294,"1925-04-30","1934-04-30","1926-08-05","1930-09-06","LA RIOJA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"VERA OCAMPO, HORACIO",3295,"1932-01-20","1935-04-30","1932-01-20","1935-04-30","LA RIOJA","U. C. R. ANTIPERSONALISTA","GONZALEZ IRAMAIN,  HECTOR",NA
"VEGA,  BENJAMIN DE LA",3296,"1862-05-24","1866-04-30","1863-05-30","1866-04-30","LA RIOJA","SIN ESPECIFICAR","ES SENADOR SUPLENTE,","SENADOR SUPLENTE. NO SE INCORPORA."
"GONZALEZ IRAMAIN,  HECTOR",3297,"1935-05-02","1944-04-30","1935-05-02","1943-06-05","LA RIOJA","SOCIALISTA","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A VERA OCAMPO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"MARTINEZ,  RAMON LINIDOR",3298,"1946-05-22","1949-04-30","1946-05-22","1949-04-30","LA RIOJA","SIN ESPECIFICAR","HERRERA,  RAMON ESTEBAN",NA
"HERRERA,  RAMON ESTEBAN",3299,"1949-09-27","1952-04-30","1949-09-27","1950-12-27","LA RIOJA","SIN ESPECIFICAR","VACANTE HASTA FIN DEL PERIODO,","REEMPLAZA A RAMON LINIDOR MARTINEZ POR EXPIRACION DE MANDATO. RENUNCIA EN 1950. NO SE COMPLETA EL PERIODO HASTA 1952."
"PIERANGELI VERA,  HUMBERTO",3300,"1952-04-25","1958-04-30","1952-04-25","1955-09-21","LA RIOJA","JUSTICIALISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"CALDERON,  SEGUNDO ROSA",3301,"1958-03-31","1964-04-30","1958-03-30","1962-09-06","LA RIOJA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"ABDALA,  DEMETRIO CESAR",3302,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","LA RIOJA","SIN ESPECIFICAR","VACANTE HASTA DISOLUC.P.L.,","VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"BLANCO,  EUFEMIO RODOLFO",3303,"1973-05-03","1977-03-30","1973-05-03","1976-03-24","LA RIOJA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"MARTINEZ,  JULIO CESAR",3304,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","LA RIOJA","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"MENEM, EDUARDO",27,"1989-12-06","1998-12-09","1989-12-06","1998-12-09","LA RIOJA","JUSTICIALISTA","MENEM, EDUARDO","REELECTO."
"MENEM, EDUARDO",27,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","LA RIOJA","JUSTICIALISTA","MENEM, EDUARDO","REELECTO."
"DIAZ VELEZ,  CIRIACO",3305,"1854-10-17","1857-04-30","1855-05-25","1856-05-15","LA RIOJA","SIN ESPECIFICAR","DIAZ VELEZ,  CIRIACO","SUPLENTE. PASA A SER TITULAR."
"DIAZ VELEZ,  CIRIACO",3305,"1854-10-17","1863-04-30","1856-05-15","1861-12-12","LA RIOJA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"FUENTE,  MAXIMINO DE LA",3308,"1889-05-02","1898-04-30","1889-05-02","1898-04-30","LA RIOJA","SIN ESPECIFICAR","AVELLANEDA,  LIDORO  J.","REEMPLAZA A NICOLAS BARROS POR EXPIRACION DE MANDATO."
"AVELLANEDA,  LIDORO  J.",3309,"1898-05-02","1907-04-30","1898-05-02","1907-04-30","LA RIOJA","SIN ESPECIFICAR","CARREÑO,  LEONIDAS","REEMPLAZA A DE LA FUENTE POR EXPIRACION DE MANDATO."
"DAVILA,  ADOLFO E.",3311,"1916-04-29","1925-04-30","1916-04-29","1918-04-02","LA RIOJA","CONSERVADOR","LUNA,  DAVID","REELECTO. FALLECE EN 1918. LO REEMPLAZA DAVID LUNA."
"LUNA,  DAVID",3312,"1916-04-29","1925-04-30","1920-07-22","1925-04-30","LA RIOJA","SIN ESPECIFICAR","VALLEJO,  CARLOS","COMPLETA EL PERIODO DE ADOLFO DAVILA. (1916/1925)."
"CEBALLOS REYES,  RAUL",3314,"1932-01-20","1941-01-19","1932-01-20","1941-01-19","LA RIOJA","UNIÓN CÍVICA RADICAL","COLINA,  FELIX M. DE LA",NA
"COLINA,  FELIX M. DE LA",3315,"1941-01-22","1950-04-30","1941-01-22","1943-02-18","LA RIOJA","SIN ESPECIFICAR","VACANTE HASTA DISOLUC.P.L.,","REEMPLAZA A CEBALLOS REYES POR EXPIRACION DE MANDATO. RENUNCIA EN 1943. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE LA RIOJA. LA BANCA QUEDA VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 18 DE JUNIO DE 1943."
"VALLEJO,  CESAR",3316,"1946-05-22","1949-04-30","1946-05-22","1949-04-30","LA RIOJA","SIN ESPECIFICAR","ROLDAN,  RAMON ANGEL",NA
"BAZAN,  MIGUEL ANGEL",3318,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","LA RIOJA","SIN ESPECIFICAR","BRIZUELA NIETO,  VICENTE BERNABE","REEMPLAZA A RAMON ROLDAN POR EXPIRACION DE MANDATO."
"BRIZUELA NIETO,  VICENTE BERNABE",3319,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","LA RIOJA","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A MIGUEL BAZAN POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"HERRERA,  JOSE JORGE",3322,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","LA RIOJA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"SANCHEZ, LIBARDO NICOLAS",40,"1986-11-28","1995-12-09","1986-11-28","1995-12-09","LA RIOJA","JUSTICIALISTA","YOMA, JORGE RAÚL","REELECTO."
"YOMA, JORGE RAÚL",230,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","LA RIOJA","JUSTICIALISTA","MAZA, ADA MERCEDES","REEMPLAZA A LIBARDO SANCHEZ  POR EXPIRACION DE MANDATO."
"GALVAN, RAUL ALFREDO",214,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","LA RIOJA","UNIÓN CÍVICA RADICAL","YOMA, JORGE RAÚL","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"LAURENCENA,  EDUARDO",3394,"1935-06-11","1944-04-30","1935-06-11","1943-06-05","ENTRE RÍOS","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"LORENZON,  RICARDO OCTAVIO",3395,"1946-05-22","1949-04-30","1946-05-22","1949-04-30","ENTRE RÍOS","SIN ESPECIFICAR","LORENZON,  RICARDO OCTAVIO",NA
"LORENZON,  RICARDO OCTAVIO",3395,"1949-04-26","1952-04-30","1949-04-26","1952-04-30","ENTRE RÍOS","SIN ESPECIFICAR","LARRAURI,  JUANA","REELECTO."
"LARRAURI,  JUANA",3396,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","ENTRE RÍOS","PERONISTA","LARRAURI,  JUANA","REEMPLAZA A RICARDO LORENZON POR EXPIRACION DE MANDATO."
"LARRAURI,  JUANA",3396,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","ENTRE RÍOS","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"NOGUEIRA,  EDUARDO",3397,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","ENTRE RÍOS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"HUMADA, JULIO CESAR",90,"1992-12-02","2001-12-09","1992-12-02","2001-12-09","MISIONES","JUSTICIALISTA","PUERTA, FEDERICO RAMÓN","REEMPLAZA A HECTOR VELAZQUEZ POR EXPIRACION DE MANDATO."
"OUDIN, ERNESTO RENE",221,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","MISIONES","JUSTICIALISTA","LOSADA, MARIO ANÍBAL","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"TARDELLI,  ANTONIO",3398,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","ENTRE RÍOS","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"SOLER,  LORENZO",3411,"1946-05-22","1952-04-30","1946-05-22","1952-04-30","MENDOZA","SIN ESPECIFICAR","BRISOLI,  BLAS",NA
"DELGADO,  FRANCISCO",3417,"1854-10-17","1860-04-30","1855-05-25","1857-06-20","MENDOZA","SIN ESPECIFICAR","ORTIZ,  MEDARDO","RENUNCIA EN 1857 PARA SER MINISTRO DE LA SUPREMA CORTE DE JUSTICIA. LO REEMPLAZA MEDARDO ORTIZ."
"FEBRE,  RAMON",3388,"1880-05-03","1889-04-30","1880-05-03","1889-04-30","ENTRE RÍOS","SIN ESPECIFICAR","CRESPO,  ANTONIO F.","REEMPLAZA A LEONIDAS ECHAGUE POR EXPIRACION DE MANDATO."
"CRESPO,  ANTONIO F.",3389,"1889-05-14","1898-04-30","1889-05-14","1893-06-07","ENTRE RÍOS","SIN ESPECIFICAR","MACIA,  SALVADOR","FALLECE EN 1893. LO REEMPLAZA SALVADOR MACIA. (1893/1895)."
"CARBO,  ENRIQUE",3390,"1889-05-14","1898-04-30","1895-07-23","1898-04-30","ENTRE RÍOS","SIN ESPECIFICAR","CARBO,  ENRIQUE","COMPLETA EL PERIODO DE SALVADOR MACIA."
"CARBO,  ENRIQUE",3390,"1898-08-09","1907-04-30","1898-08-09","1903-01-15","ENTRE RÍOS","SIN ESPECIFICAR","ECHAGÜE,  LEONIDAS","REELECTO. RENUNCIA EN 1903 PARA SER GOBERNADOR DE LA PROVINCIA DE ENTRE RIOS. LO REEMPLAZA LEONIDAS ECHAGUE."
"CARBO,  ENRIQUE",3390,"1907-04-30","1916-04-30","1907-04-30","1914-02-16","ENTRE RÍOS","SIN ESPECIFICAR","TENREYRO,  EMERIO R.","REEMPLAZA A LEONIDAS ECHAGUE POR EXPIRACION DE MANDATO. RENUNCIA EN 1914 PARA SER MINISTRO DE HACIENDA. LO REEMPLAZA E. TENREYRO."
"PARRA PEREZ,  DIEGO",3341,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","SAN JUAN","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
